collapse_variable,global_mean_abs_error,global_rms_error,global_max_abs_error,abs_A_B_mean,abs_A_B_rms,abs_A_B_max,abs_A_C_mean,abs_A_C_rms,abs_A_C_max,abs_B_C_mean,abs_B_C_rms,abs_B_C_max
theta,0.10977211905883584,0.1314108570047008,0.29627630339195976,0.006405906485552761,0.0089574455712965,0.027706893844221148,0.1613379642352387,0.19332442024980762,0.29627630339195976,0.1615724864557161,0.19195070519299828,0.2870701162060302
l_FS,0.06057768664642912,0.07141609727612457,0.1564259847766316,0.00732336288322753,0.009803841975831453,0.027766573465831668,0.08699817476314983,0.10234282142612804,0.15303300969119815,0.08741152229291,0.10210162842641421,0.1564259847766316
d_FS_endpoint,0.014124721084664412,0.01727205822143642,0.048045113113869636,0.006946854524488585,0.009793494432292209,0.02816349330958373,0.0182917385538469,0.021784254415633763,0.048045113113869636,0.017135570175657748,0.020238425816383302,0.040418138166597006
