experiment,backend,job_id,job_status,error,backend_name,backend_version,backend_num_qubits,backend_online_date,backend_basis_gates,backend_coupling_edges,backend_processor_type
A-F one-qubit protocol test,ibm_kingston,d8gq7nhe8nrc73bg8i00,ERROR,RuntimeJobNotFound('Job not found: d8gq7nhe8nrc73bg8i00'),ibm_kingston,2,156,2025-02-20 05:00:00+00:00,"cz,id,rz,sx,x",352,"{'family': 'Heron', 'revision': '2'}"
A-F one-qubit protocol test,ibm_fez,d8go594zupec739k32gg,ERROR,RuntimeJobNotFound('Job not found: d8go594zupec739k32gg'),ibm_fez,2,156,2024-05-14 04:00:00+00:00,"cz,id,rz,sx,x",352,"{'family': 'Heron', 'revision': '2'}"
Bloch-sphere path test,ibm_kingston,d8gpgtv8cos73f3i28g,ERROR,RuntimeJobNotFound('Job not found: d8gpgtv8cos73f3i28g'),ibm_kingston,2,156,2025-02-20 05:00:00+00:00,"cz,id,rz,sx,x",352,"{'family': 'Heron', 'revision': '2'}"
History-loop test,ibm_kingston,d8g7nhe8nrc73bgc960,ERROR,RuntimeJobNotFound('Job not found: d8g7nhe8nrc73bgc960'),ibm_kingston,2,156,2025-02-20 05:00:00+00:00,"cz,id,rz,sx,x",352,"{'family': 'Heron', 'revision': '2'}"
Two-qubit entangling history test,ibm_kingston,d8gqcc2upec739k73i0,ERROR,RuntimeJobNotFound('Job not found: d8gqcc2upec739k73i0'),ibm_kingston,2,156,2025-02-20 05:00:00+00:00,"cz,id,rz,sx,x",352,"{'family': 'Heron', 'revision': '2'}"
