weight_d_FS,weight_l_FS,weight_theta,mean_error,rms_error,max_error
0.0,0.0,1.0,0.09609671888064382,0.11566680895215922,0.3113356370192307
0.0,0.02,0.98,0.09565181432962598,0.1150405451296877,0.30973559202880085
0.0,0.04,0.96,0.0951995439478946,0.11441615693087943,0.3082762819944237
0.0,0.06,0.94,0.09473905085947557,0.11379183453408949,0.30667770552715456
0.0,0.08,0.92,0.09426873217277584,0.11316783117884241,0.30505425414947474
0.0,0.1,0.9,0.09378769325797126,0.11254480506992695,0.3034053725087533
0.0,0.12,0.88,0.09329697527543236,0.11192482502898414,0.30173049025375376
0.0,0.14,0.86,0.0927996435246292,0.11131861397798307,0.30002902164777556
0.0,0.16,0.84,0.09229852880987645,0.11073109113603534,0.29830036518207403
0.0,0.18,0.8200000000000001,0.09186138307720638,0.11016120460363113,0.29654390319147395
0.0,0.2,0.8,0.09147737809456806,0.10961652051351481,0.2947499981668701
0.0,0.22,0.78,0.0911085953724677,0.1090689479508047,0.2928565126137893
0.0,0.24,0.76,0.0907459756291635,0.10851660935812885,0.29093115957136306
0.0,0.26,0.74,0.09035110594381947,0.1079563391723113,0.28897316811552987
0.0,0.28,0.72,0.08992310155906762,0.10739287036922177,0.2869817447526126
0.0,0.3,0.7,0.08946066630113804,0.10682530732649465,0.28498308317521315
0.0,0.32,0.6799999999999999,0.08897814297330826,0.1062678647782057,0.2829944532143337
0.0,0.34,0.6599999999999999,0.08850519124333471,0.10572612932607943,0.2809720099044172
0.0,0.36,0.64,0.08807537882127997,0.10521257873392004,0.27891495822872403
0.0,0.38,0.62,0.08770810655465382,0.10474109950986811,0.2768224831700412
0.0,0.4,0.6,0.08740600639497495,0.10433881304081659,0.2755878585231084
0.0,0.42,0.5800000000000001,0.08725466843136931,0.1040982347963659,0.2752737807085236
0.0,0.44,0.56,0.08744150924597718,0.10413882987307489,0.28094868175678944
0.0,0.46,0.54,0.0879619161443499,0.10481556932065948,0.289172105221319
0.0,0.48,0.52,0.08913333270112234,0.10633434665946491,0.29737383279572116
0.0,0.5,0.5,0.09072302196814523,0.10831214701613937,0.30555091333483164
0.0,0.52,0.48,0.09236811551099415,0.11046557613969675,0.3124415828873498
0.0,0.54,0.45999999999999996,0.09400925181439418,0.11271337092997974,0.3193203495251624
0.0,0.56,0.43999999999999995,0.09564596200371224,0.11501966891162214,0.32653180810911964
0.0,0.58,0.42000000000000004,0.09729536988083891,0.11736344352588794,0.3337286731117225
0.0,0.6,0.4,0.09897189071809503,0.11973577503533613,0.34103292929886264
0.0,0.62,0.38,0.10066153670144838,0.12212682830154757,0.34945718664862724
0.0,0.64,0.36,0.10235457708000847,0.12452742493350252,0.3570454826100482
0.0,0.66,0.33999999999999997,0.10402680098043529,0.12693224290873262,0.3643104204362235
0.0,0.68,0.31999999999999995,0.10567464077361324,0.12933596772019473,0.37166971876966215
0.0,0.7000000000000001,0.29999999999999993,0.10728722334223553,0.13172212127088104,0.3794510304225954
0.0,0.72,0.28,0.10884687090446478,0.13405616410892798,0.3872306402831662
0.0,0.74,0.26,0.11034960450453468,0.13632789946370755,0.39482968381144745
0.0,0.76,0.24,0.11179274628501258,0.13853291340549165,0.401227383740288
0.0,0.78,0.21999999999999997,0.11319190142634035,0.14066230681120864,0.4097306399525798
0.0,0.8,0.19999999999999996,0.11456475642316745,0.14271011904270223,0.41838289879496043
0.0,0.8200000000000001,0.17999999999999994,0.11588925759016129,0.14468389777653246,0.4279226129043074
0.0,0.84,0.16000000000000003,0.11715862077801556,0.1465763833252046,0.4375810167134401
0.0,0.86,0.14,0.11836708581652337,0.14837860918695742,0.4473928861269299
0.0,0.88,0.12,0.11948655125855843,0.1500763849555688,0.4570556629248328
0.0,0.9,0.09999999999999998,0.12053362279498685,0.15169964885745207,0.4669845423549253
0.0,0.92,0.07999999999999996,0.12151015018052869,0.15325380984057316,0.4767335279655618
0.0,0.9400000000000001,0.05999999999999994,0.12241525352956027,0.15473349487281787,0.4865180940340942
0.0,0.96,0.040000000000000036,0.12324852051062175,0.1561355861965527,0.4963496290951774
0.0,0.98,0.020000000000000018,0.12400133538122514,0.15744922533442002,0.5057312565232275
0.0,1.0,0.0,0.12466223003225636,0.15865416287385148,0.515493784261382
0.02,0.0,0.98,0.09451897476219613,0.11386528103509855,0.30636195021572776
0.02,0.02,0.96,0.09405731320985762,0.11321489383607862,0.30477187435591857
0.02,0.04,0.94,0.09358638333964385,0.11256529181842563,0.30315739029074296
0.02,0.06,0.9199999999999999,0.09310647854859416,0.11191533320629961,0.301517959025024
0.02,0.08,0.9,0.09261696185904039,0.11126604891289552,0.2998530270643298
0.02,0.1,0.88,0.09211629542668144,0.11061819028493262,0.2981620260318274
0.02,0.12,0.86,0.09160463479920312,0.10997450530515943,0.2964443722833636
0.02,0.14,0.84,0.09108898386273284,0.10934936092096487,0.2946994665223057
0.02,0.16,0.82,0.09057468021380306,0.10874062654890214,0.2929266934159339
0.02,0.18,0.8,0.09013280725761251,0.10815441901195408,0.29112542121551177
0.02,0.2,0.78,0.08973685891546664,0.10758843551259901,0.28926421518048373
0.02,0.22,0.76,0.0893564167412515,0.10701957433259118,0.28732363300506836
0.02,0.24,0.74,0.08896609602578026,0.10644187065575933,0.28535040786539845
0.02,0.26,0.72,0.08854706773886654,0.1058612844914273,0.28334375162419567
0.02,0.28,0.7,0.08809037430750957,0.10527408265197749,0.2813028532151792
0.02,0.3,0.6799999999999999,0.08760385545612938,0.10468851790589857,0.27925331111602836
0.02,0.32,0.6599999999999999,0.08709691518365631,0.10411197727546398,0.2772142787833214
0.02,0.34,0.6399999999999999,0.0866207156791429,0.10356096744013575,0.2751406099465221
0.02,0.36,0.62,0.08619366315663585,0.10304169641840723,0.2730314933559661
0.02,0.38,0.6,0.08583045634584216,0.1025701188355044,0.2743445744655104
0.02,0.4,0.58,0.0855547836683396,0.10220255021156939,0.2740327468876774
0.02,0.42,0.56,0.08551598135609749,0.10203738351540159,0.2737061914855732
0.02,0.44,0.54,0.08583507068089888,0.10228300747909212,0.2791465946425502
0.02,0.46,0.52,0.08659333475992463,0.103346594382095,0.2873885436265611
0.02,0.48,0.5,0.08801200630677332,0.10511602831687544,0.29564530651000787
0.02,0.5,0.48,0.08963776417284892,0.10717932741263023,0.30387454079438214
0.02,0.52,0.45999999999999996,0.09126964839921073,0.10937299009227296,0.31101474212814917
0.02,0.54,0.43999999999999995,0.09289103231802373,0.11163769917226322,0.31800319388702203
