collapse_variable,global_mean_abs_error,global_rms_error,global_max_abs_error
theta,0.09147893041910535,0.11069295533461408,0.3037501306438126
l_FS,0.11765913992396247,0.15171225631964078,0.49568844323078287
d_FS_endpoint,0.012463143847118592,0.015241414658149316,0.05657056654465725
T_G_path,0.1176591399239625,0.1517122563196408,0.495688443230783
T_G_endpoint,0.012463143847118599,0.015241414658149318,0.05657056654465725
