backend,job_id,n_qubits,shots,n_circuits
ibm_kingston,d8hd21s2upec739ktc30,156,1024,26
ibm_fez,d8hd259e8nrc73bh28k0,156,1024,26
ibm_marrakesh,d8hd38lv8cos73f49bn0,156,1024,26
